Open,High,Low,Close,Volume
1576.98,1580.12,1533.46,1537.38,13107040
1542.68,1563.26,1538.27,1560.71,4968938
1558.16,1586.39,1539.74,1580.9,11377580
1580.51,1580.51,1550.03,1558.26,4669677
1545.13,1553.46,1524.74,1528.76,9035606
1538.76,1551.99,1527.0,1529.54,7289050
1536.7,1539.74,1521.21,1537.29,4241719
1524.55,1529.74,1509.35,1516.7,6284042
1519.16,1555.61,1519.16,1533.66,5140721
1535.42,1552.28,1531.6,1549.05,3234467
1548.46,1551.4,1525.43,1538.85,7933592
1549.54,1556.1,1538.76,1540.52,3696939
1557.38,1576.88,1545.23,1554.05,8784307
1555.29,1556.28,1539.55,1547.07,13280901
1544.4,1544.4,1523.61,1538.26,4418695
1543.41,1551.63,1520.24,1527.57,6922629
1527.57,1541.73,1525.99,1535.69,4594249
1532.42,1552.02,1526.18,1538.76,7018726
1539.15,1553.21,1527.67,1548.16,4000020
1562.22,1572.12,1555.29,1557.17,2932527
1568.16,1591.43,1561.72,1580.04,8678712
1574.2,1618.25,1574.2,1614.79,10704454
1600.83,1611.72,1582.12,1592.51,10589468
1560.24,1592.91,1554.5,1585.98,7038702
1584.0,1618.45,1581.13,1607.56,5648325
1604.49,1630.93,1599.44,1623.5,7699073
1604.79,1628.25,1604.79,1616.57,5686572
1607.66,1613.7,1595.39,1602.22,5199757
1602.81,1614.39,1592.81,1606.67,9295778
1584.99,1584.99,1559.65,1568.16,8023915
1584.99,1592.91,1560.83,1565.78,8165648
1574.1,1603.7,1569.25,1598.75,7892457
1592.71,1607.76,1590.53,1599.84,6585083
1602.81,1613.3,1586.38,1591.92,9002290
1598.85,1598.85,1578.16,1585.78,6358085
1592.91,1601.52,1584.49,1590.73,4221148
1601.82,1632.51,1587.37,1594.4,8741051
1602.31,1616.08,1598.85,1602.51,5312823
1608.75,1626.97,1596.18,1624.29,4455831
1623.6,1627.56,1606.77,1610.73,3327801
1611.72,1629.74,1605.29,1622.31,4637051
1621.42,1621.62,1607.36,1617.36,4627098
1622.51,1622.51,1591.03,1599.64,5384019
1563.31,1591.03,1547.37,1578.95,11506823
1575.88,1575.88,1544.2,1554.6,9266086
1549.45,1587.56,1548.36,1569.74,7691724
1563.21,1595.88,1562.71,1591.82,6286354
1582.02,1593.9,1564.3,1567.67,7449307
1576.18,1583.31,1564.2,1570.24,5213972
1564.2,1573.11,1551.13,1568.46,3719859
1549.35,1569.94,1549.35,1555.19,8559334
1560.54,1575.98,1534.5,1558.76,8116187
1564.2,1566.18,1532.72,1536.97,14312791
1527.97,1534.01,1496.19,1500.54,10960867
1498.76,1504.11,1467.68,1500.84,6504904
1497.77,1502.03,1481.14,1498.56,7141866
1504.7,1506.48,1490.94,1503.81,5776819
1494.6,1511.83,1482.03,1493.91,6920613
1478.96,1483.71,1450.84,1454.9,8790886
1446.89,1467.97,1436.49,1465.69,8697187
1463.91,1463.91,1440.45,1445.7,10316487
1437.48,1441.54,1416.0,1422.33,10673670
1415.7,1427.58,1400.06,1422.53,9991939
1410.75,1418.87,1402.93,1408.87,10149504
1405.7,1419.07,1399.86,1413.92,6692290
1413.92,1426.59,1406.79,1409.86,9999175
1410.75,1419.66,1408.18,1412.33,10422285
1411.94,1455.3,1411.94,1433.22,13032673
1450.05,1450.05,1415.3,1421.44,7327839
1418.37,1434.91,1418.37,1425.6,4026357
1426.29,1484.01,1426.29,1481.24,10518243
1492.92,1492.92,1469.46,1481.44,6631857
1483.12,1489.26,1471.24,1472.62,5599390
1491.63,1523.61,1491.63,1516.78,10802556
1507.77,1523.02,1503.41,1514.3,16156361
1514.3,1514.3,1483.02,1485.1,5498347
1486.88,1486.88,1453.02,1454.9,8251590
1461.93,1488.37,1461.44,1484.41,4591976
1484.41,1497.67,1471.44,1483.71,5271477
1485.0,1486.88,1458.27,1464.31,4670184
1469.16,1469.16,1445.5,1448.37,5846185
1455.3,1457.97,1418.67,1430.15,5521704
1436.49,1443.42,1414.02,1418.57,3850067
1466.19,1492.13,1457.78,1489.26,13204686
1495.0,1519.55,1494.21,1517.27,7354617
1508.66,1512.22,1491.44,1494.6,8084507
1521.63,1527.47,1505.89,1510.34,12986831
1510.34,1512.22,1486.19,1493.32,6229711
1493.32,1498.86,1488.46,1496.19,9013244
1501.73,1511.43,1498.86,1507.18,4844139
1534.5,1539.45,1523.11,1525.19,9426207
1529.15,1535.79,1504.9,1524.8,13119322
1467.87,1499.55,1467.18,1484.51,15813337
1478.07,1497.87,1478.07,1482.53,9931478
1472.33,1481.73,1467.87,1479.65,4986872
1474.11,1487.67,1461.73,1469.95,9587744
1460.25,1463.91,1426.79,1434.41,8683896
1445.4,1450.35,1422.14,1427.38,10619310
1428.57,1437.68,1423.72,1427.38,7632631
1431.54,1435.01,1413.13,1431.34,6313830
1424.61,1433.82,1418.87,1432.13,6947003
1432.13,1464.01,1427.88,1461.24,4677363
1462.92,1468.07,1439.46,1443.92,5626585
1442.43,1483.02,1440.45,1480.05,4704234
1486.98,1498.86,1472.13,1494.21,7099750
1494.9,1506.48,1483.81,1499.75,3776114
1482.03,1489.65,1468.57,1478.27,5918540
1484.01,1499.26,1471.64,1475.0,5657362
1469.06,1473.71,1452.82,1459.66,7056664
1459.16,1459.76,1445.9,1456.79,8086614
1440.35,1443.82,1419.66,1426.69,17130684
1439.16,1452.33,1435.5,1446.29,7064894
1463.22,1471.14,1455.3,1457.68,1715862
1494.9,1530.54,1490.94,1513.21,20564266
1524.1,1527.57,1502.82,1510.15,8739653
