strikePrice,expiryDate,underlying,openInterest,changeinOpenInterest,pchangeinOpenInterest,totalTradedVolume,impliedVolatility,lastPrice,change,pChange,totalBuyQuantity,totalSellQuantity,bidQty,bidprice,askQty,askPrice,underlyingValue,instrumentType,timestamp
1360,28-Oct-2025,INFY,621,-312,-33.440514469453376,552,76.26,0.1,-0.19999999999999998,-66.66666666666666,0,85200,0,0.0,38400,0.1,1504.9,PE,27-Oct-2025 15:30:00
1360,25-Nov-2025,INFY,703,192,37.573385518590996,528,26.41,3.35,-1.1,-24.719101123595507,141200,91600,400,3.35,1200,3.4,1504.9,PE,27-Oct-2025 15:30:00
1360,25-Nov-2025,INFY,128,-21,-14.093959731543624,26,0.0,148.0,2.8000000000000114,1.9283746556473909,44000,35600,2800,142.85,400,150.6,1504.9,CE,27-Oct-2025 15:30:00
1360,30-Dec-2025,INFY,23,1,4.545454545454546,7,23.88,8.15,-2.3499999999999996,-22.380952380952376,8400,6400,2000,8.15,400,8.9,1504.9,PE,27-Oct-2025 15:30:00
1380,28-Oct-2025,INFY,1233,-454,-26.911677534084173,931,69.66,0.15,-0.25,-62.5,203200,75600,22800,0.1,5200,0.15,1504.9,PE,27-Oct-2025 15:30:00
1380,28-Oct-2025,INFY,316,-3,-0.9404388714733543,23,0.0,121.5,5.75,4.967602591792657,47200,40800,400,123.3,400,125.85,1504.9,CE,27-Oct-2025 15:30:00
1380,25-Nov-2025,INFY,1091,98,9.86908358509567,470,25.81,4.75,-1.25,-20.833333333333336,154400,84000,1600,4.75,1200,4.9,1504.9,PE,27-Oct-2025 15:30:00
1380,25-Nov-2025,INFY,0,0,0.0,1,0.0,129.0,19.950000000000003,18.294360385144433,33600,33200,2000,123.7,400,133.7,1504.9,CE,27-Oct-2025 15:30:00
1400,28-Oct-2025,INFY,983,-118,-10.717529518619436,153,77.51,106.15,4.650000000000006,4.581280788177346,50400,45200,2400,103.4,400,106.85,1504.9,CE,27-Oct-2025 15:30:00
1400,28-Oct-2025,INFY,2736,-1911,-41.123305358295674,3587,0.0,0.1,-0.4,-80.0,24000,113600,24000,0.05,33600,0.1,1504.9,PE,27-Oct-2025 15:30:00
1400,25-Nov-2025,INFY,546,87,18.954248366013072,193,0.0,112.0,3.200000000000003,2.941176470588238,36000,44000,400,111.4,400,114.1,1504.9,CE,27-Oct-2025 15:30:00
