Timestamp,Open,High,Low,Close,Volume
2024-10-28,4028.26,4092.66,4010.49,4049.94,1548014
2024-10-29,4054.89,4062.47,4019.5,4034.5,1460489
2024-10-30,4034.25,4065.93,4019.45,4043.8,1954547
2024-10-31,4029.3,4037.52,3920.4,3928.77,3778153
2024-11-01,3949.95,3958.96,3936.29,3944.36,156459
2024-11-04,3926.64,3951.98,3874.12,3924.51,2292113
2024-11-05,3901.69,3946.14,3901.69,3931.64,977363
2024-11-06,3963.56,4108.3,3935.5,4098.25,3830320
2024-11-07,4128.0,4163.74,4044.2,4109.39,3761968
2024-11-08,4113.45,4128.05,4076.47,4105.53,1664685
2024-11-11,4086.92,4191.96,4076.47,4156.71,1420693
2024-11-12,4173.84,4175.82,4122.71,4155.43,1603676
2024-11-13,4136.32,4154.78,4089.74,4108.85,1109912
2024-11-14,4093.65,4118.4,4075.29,4104.44,1843870
2024-11-18,4170.87,4170.87,3950.3,3979.3,3347418
2024-11-19,3979.7,4090.83,3973.96,3999.15,1794174
2024-11-21,4004.45,4051.53,3983.76,4032.12,2408431
2024-11-22,4030.29,4212.4,4013.46,4202.15,3127831
2024-11-25,4237.2,4284.82,4209.68,4271.95,4093097
2024-11-26,4277.84,4322.93,4266.9,4309.17,2081483
2024-11-27,4315.36,4333.63,4280.81,4289.22,1574740
2024-11-28,4275.81,4296.55,4190.67,4202.45,2584387
2024-11-29,4177.8,4255.71,4153.69,4228.14,2037803
2024-12-02,4227.3,4245.32,4187.75,4233.88,1687822
2024-12-03,4271.21,4281.75,4222.8,4259.72,2031217
2024-12-04,4270.41,4343.08,4246.16,4310.86,3336002
2024-12-05,4356.79,4444.11,4316.4,4419.41,3784592
2024-12-06,4408.47,4420.35,4368.62,4401.04,1860693
2024-12-09,4386.15,4424.71,4371.39,4407.63,2087514
2024-12-10,4381.89,4448.86,4367.98,4388.22,2108917
2024-12-11,4387.53,4404.16,4362.93,4383.18,1651773
2024-12-12,4385.75,4440.15,4381.74,4410.4,1933981
2024-12-13,4390.6,4449.95,4350.46,4429.16,1986917
2024-12-16,4414.41,4430.25,4353.03,4371.05,1662852
2024-12-17,4365.9,4388.62,4274.82,4285.21,3257603
2024-12-18,4268.58,4318.38,4246.7,4304.37,1591317
2024-12-19,4239.18,4320.36,4219.38,4229.18,3046225
2024-12-20,4285.71,4338.18,4110.98,4128.6,4158574
2024-12-23,4158.05,4174.83,4073.75,4116.72,2217513
2024-12-24,4116.72,4175.82,4116.72,4137.71,1193824
2024-12-26,4137.71,4157.95,4101.72,4127.41,1220670
2024-12-27,4121.37,4139.14,4105.78,4123.2,866767
2024-12-30,4109.49,4157.31,4070.88,4117.21,1542594
2024-12-31,4093.65,4098.55,3991.73,4053.85,1571140
2025-01-01,4053.46,4092.66,4044.6,4071.33,770869
2025-01-02,4078.8,4141.17,4055.98,4133.99,1738217
2025-01-03,4138.15,4138.15,4051.38,4058.9,1810053
2025-01-06,4064.45,4108.15,4025.74,4054.05,2106659
2025-01-07,4073.8,4098.95,3971.43,3988.02,2696014
2025-01-08,3994.55,4084.74,3977.57,4067.32,2203310
2025-01-09,4059.99,4096.37,3985.05,3998.46,2416638
2025-01-10,4158.0,4254.03,4128.3,4222.99,7974040
2025-01-13,4202.55,4279.72,4185.13,4248.19,4044213
2025-01-14,4258.98,4270.76,4176.86,4190.72,3476473
2025-01-15,4175.82,4213.89,4165.38,4207.1,1670175
2025-01-16,4217.4,4251.06,4149.93,4164.24,2664348
2025-01-17,4118.3,4118.99,4059.05,4083.06,1779258
2025-01-20,4104.34,4104.34,4027.42,4037.02,1300807
2025-01-21,4054.35,4069.89,3989.7,3995.49,1991506
2025-01-22,4009.5,4121.52,4003.76,4115.03,2433558
2025-01-23,4126.32,4149.44,4098.65,4104.0,1841412
2025-01-24,4062.96,4136.22,4062.96,4110.83,1929392
2025-01-27,4060.98,4114.79,4000.64,4024.5,1567456
2025-01-28,4030.09,4060.98,3988.02,3999.9,2493204
2025-01-29,4013.46,4066.77,4013.46,4058.8,1229382
2025-01-30,4058.9,4088.6,4017.92,4059.05,1546718
2025-01-31,4068.9,4087.17,4044.4,4071.28,1508023
2025-02-01,4071.87,4094.54,4015.44,4032.42,441587
2025-02-03,3990.59,4036.23,3958.71,4027.96,1278497
2025-02-04,4042.86,4077.66,4025.39,4065.98,2572860
2025-02-05,4108.5,4108.5,4035.24,4050.19,1711022
2025-02-06,4064.35,4098.1,4011.03,4041.92,2307612
2025-02-07,4049.1,4049.1,3967.92,3989.11,1564585
2025-02-10,3999.6,4011.48,3974.21,3996.58,1353041
2025-02-11,3978.22,3999.6,3915.45,3923.91,1829200
2025-02-12,3931.39,3981.53,3900.75,3910.65,1694951
2025-02-13,3928.32,3944.61,3863.23,3871.05,2300313
2025-02-14,3885.75,3908.52,3861.0,3895.5,1698964
2025-02-17,3817.94,3894.66,3817.64,3865.46,1817985
2025-02-18,3859.42,3885.16,3825.85,3834.47,2171594
2025-02-19,3833.48,3836.2,3730.47,3746.26,4410779
2025-02-20,3723.89,3750.12,3713.79,3741.61,2917749
2025-02-21,3738.34,3778.83,3737.25,3748.14,1852455
2025-02-24,3705.72,3725.57,3633.3,3638.84,2533854
2025-02-25,3588.75,3621.42,3585.04,3593.25,4143387
2025-02-27,3575.58,3601.62,3564.69,3576.42,3862480
2025-02-28,3549.1,3564.0,3422.43,3448.42,7156583
2025-03-03,3450.15,3488.02,3441.39,3458.12,5040847
2025-03-04,3439.26,3515.49,3429.66,3496.73,2825996
2025-03-05,3485.64,3564.35,3485.64,3511.58,2527165
2025-03-06,3521.43,3573.36,3500.74,3565.58,2814659
2025-03-07,3564.0,3588.75,3538.66,3575.09,2072035
2025-03-10,3570.44,3585.88,3546.77,3553.75,1014773
2025-03-11,3522.42,3552.86,3502.27,3539.55,2015606
2025-03-12,3529.35,3533.56,3451.98,3471.14,3206229
2025-03-13,3467.28,3489.06,3449.26,3475.94,1710105
2025-03-17,3454.11,3495.15,3442.58,3462.72,2718086
2025-03-18,3467.33,3521.38,3443.67,3516.93,3100110
2025-03-19,3511.53,3511.53,3428.12,3462.13,3082064
2025-03-20,3476.88,3543.16,3476.88,3527.52,2873931
2025-03-21,3440.25,3580.09,3430.35,3542.32,4203964
2025-03-24,3564.0,3613.25,3530.93,3592.66,1853283
2025-03-25,3608.55,3672.9,3601.62,3621.17,3167060
2025-03-26,3611.27,3643.7,3589.59,3599.44,1752019
2025-03-27,3578.7,3626.37,3574.4,3614.69,2554014
2025-03-28,3614.49,3624.34,3555.98,3570.09,2072645
2025-04-01,3536.97,3548.16,3489.75,3515.29,2644942
2025-04-02,3508.56,3528.46,3494.75,3508.51,1782134
2025-04-03,3456.09,3466.98,3362.19,3369.12,4583657
2025-04-04,3328.97,3365.65,3262.54,3266.41,5371077
2025-04-07,3069.0,3258.49,3025.49,3241.31,6690863
2025-04-08,3269.03,3315.51,3222.75,3260.02,5613694
2025-04-09,3227.94,3237.3,3179.93,3214.13,3020469
2025-04-11,3256.65,3265.96,3173.94,3199.19,7180768
2025-04-15,3281.26,3281.26,3206.21,3215.72,3547636
2025-04-16,3215.72,3245.32,3196.71,3241.06,2408475
2025-04-17,3213.04,3270.56,3185.82,3265.91,2961965
2025-04-21,3257.2,3320.46,3251.26,3288.38,2457521
2025-04-22,3289.37,3300.56,3262.05,3281.26,2737876
2025-04-23,3331.35,3386.69,3303.93,3378.87,3579720
2025-04-24,3367.09,3378.38,3353.82,3367.58,2274924
2025-04-25,3385.8,3443.02,3370.95,3413.52,2770697
2025-04-28,3400.65,3423.22,3370.95,3409.06,1609389
